Official School Name,Latitude,Longitude,Enrollment
Community College Killorglin,52.099953,-9.784108,287
Coláiste na Ríochta,52.448375,-9.479134,183
Castleisland Community College,52.227299,-9.456706,381
Causeway Comprehensive School,52.411878,-9.736091,616
Coláiste Gleann Lí Post Primary School,52.272477,-9.686207,307
Gaelcholáiste Chiarraí,52.266135,-9.691475,312
Scoil Aireagail,52.478746,-7.213059,192
Duiske College,52.539894,-6.957376,146
Coláiste Mhuire,52.744359,-7.559445,658
City Vocational School,52.647778,-7.254474,316
Coláiste Cois Siúire,52.290332,-7.246717,153
Grennan College,52.5283,-7.142545,320
Coláiste Pobail Osraí,52.648783,-7.252869,230
Athy Community College,53.001559,-6.986399,617
Curragh Community College,53.147578,-6.833804,256
Colaiste Lorcain,52.909025,-6.838199,353
St Conleth's Community College,53.182507,-6.800841,730
Confey Community College,53.373231,-6.498517,903
Maynooth Post Primary School,53.384548,-6.596452,1011
Piper's Hill College,53.195307,-6.669603,1033
St Farnan's Post Primary School,53.286808,-6.7514,572
Ardscoil Rath Iomgháin,53.218076,-6.994439,735
Glenart College,52.796379,-6.174449,622
Scoil Chonglais,52.937899,-6.701157,465
Blessington Community College,53.170294,-6.539432,702
Coláiste Bhríde Carnew,52.709857,-6.501971,949
St Kevin's Community College,53.054165,-6.696857,729
Avondale Community College,52.934487,-6.236096,631
Coláiste Raithín,53.210018,-6.108284,351
Ennis Community College,52.847187,-8.987691,576
St Michael's Community College,52.724802,-9.321161,281
St Joseph's Community College,52.674576,-9.650325,174
Scariff Community College,52.902641,-8.53559,437
St Anne's Community College,52.802557,-8.440781,710
St. Brogan's College,51.753663,-8.737996,830
Colaiste Ghobnatan,51.939244,-9.155703,257
Scoil Mhuire,51.84893,-9.234746,102
Clonakilty Community College,51.624811,-8.887062,684
Coachford College,51.911887,-8.793481,843
Carrignafoy Community College,51.855105,-8.286554,400
Coláiste an Chraoibhín,52.135174,-8.285294,919
Coláiste Treasa,52.17781,-8.901289,610
Davis College,52.125035,-8.641436,997
McEgan College,51.904961,-8.961553,264
Coláiste Fionnchua,52.264892,-8.262391,388
St Colman's Community College,51.910268,-8.167466,1011
St Aidan's Community College,51.921144,-8.462545,359
Schull Community College,51.522334,-9.546582,369
