School Name,Latitude,Longitude,Enrollment
CLOGHEEN MXD N S,51.908528,-8.562214,183
ST. JOHNS NATIONAL SCHOOL,53.732633,-7.800317,64
RUSHNACAHARA N S,51.605396,-9.623004,25
KILTEGAN N S,52.906204,-6.604222,17
KILADOOLEY MIXED N S,52.892768,-7.645544,125
S.N na Faille Móire,51.979858,-10.15336,67
SN SAILEARNA,53.24587,-9.382327,196
NAOMH GUASACHTA N S,53.792766,-7.584618,49
MARSHALSTOWN N S,52.547875,-6.603539,212
S N CNOC AN SAMHRAIDH,53.411068,-7.987599,247
KILDARE PLACE N S,53.318538,-6.26362,193
S N RONAIN NAOFA,53.971558,-8.412254,35
BUNSCOIL NAOMH CHUANA,53.442256,-9.042661,211
FLOWERFIELD N S,53.64603,-6.686018,40
SAINT MICHAELS N S,54.10787,-9.153289,11
ST COLUMBAS MXD N S,53.83971,-7.519717,51
S N CEATHRU AN CHLOCHAR,53.66406,-9.225087,24
Scoil Realt na Mara,52.105894,-9.881362,142
SCOIL MHUIRE B,52.108322,-9.787826,384
ST MICHAELS,52.657575,-8.629729,115
ST PATRICKS N S,52.650875,-6.551422,73
DOONAHA N S,52.623164,-9.647836,23
Gaelscoil Naomh Séamas,52.114184,-9.835503,39
UGHTYNEILL N S,53.82599,-6.879129,34
CLOONLYON N S,53.930843,-8.838159,19
S N TAMHNIGHAN FHEADHA,53.917887,-8.776613,13
S N COILM CILLE,53.27377,-9.540452,64
S N BHRIDE,53.36882,-8.889203,236
S N NAOMH SEOSAMH,53.588457,-8.12158,125
INCHIGEELA N S,51.840874,-9.125422,59
ST JOSEPHS CONVENT,52.447904,-9.059485,225
S N CIANOG NAOFA,53.329699,-6.841452,84
OUR LADY OF MERCY N S,52.137581,-7.466694,108
KILFINANE CONVENT PRIMARY SCHOOL,52.361185,-8.469255,142
ST JOSEPHS CONVENT N S,52.354623,-8.685932,184
S N LIOS A CUILL M,53.853991,-8.630981,95
KILMOVEE N S,53.890393,-8.65807,55
S N AN DROMA MHOIR,51.656276,-9.359019,73
ST BRIDGETS MONASTERY BOYS SENIOR SCHOOL,52.700354,-6.95498,122
CLARA CONVENT N S,53.342233,-7.604052,188
SCOIL DHAIRBHRE,51.615502,-8.828286,22
S N NAOMH COLM CILLE,53.797607,-9.549648,204
KNOCKANES MXD N S,52.033483,-9.377752,75
ST JOSEPHS N S,53.82162,-9.334781,115
KILBERRY N S,53.050456,-7.022353,85
PADDOCK N S,53.022979,-7.498501,74
ST COLUMBAS N.S.,53.698883,-10.09675,4
HIGH ST MIXED N S,53.252253,-7.917322,67
Taunagh National School,54.129975,-8.398008,31
ST ANNES CON N S,53.766325,-8.486454,125
ST PATRICKS MXD N S,53.873975,-7.534534,104
HOLY FAMILY NATIONAL SCHOOL,53.280225,-6.475685,718
SN GLEANN A CHAISIL,54.195281,-9.908431,63
ST KEVIN'S BALLYCOOG NS,52.827783,-6.264482,25
CORMAIC NFA,54.165737,-9.344696,39
CLOUGHDUV N S,51.84637,-8.78871,141
CASTLEROCK N S,54.062943,-8.867429,33
MONEYSTOWN N S,53.003815,-6.198886,115
CLOVER HILL N S,53.652919,-8.252055,61
FAIRGREEN N S,54.098884,-7.44367,38
TIRELTON N S MXD,51.83726,-8.990499,76
GLANBRIAN N S,52.464718,-6.500395,85
ST PATRICKS NS,53.793234,-9.989965,13
"St. John's National School,",53.69756,-7.608215,23
FERMOYLE MIXED N S,53.62466,-7.993359,112
ST PATRICKS N S,53.177777,-6.814005,211
COURT N S,52.553945,-6.342178,111
SCOIL BHRIDE,53.00017,-7.476977,88
SCOIL BRIDE,53.149171,-6.799544,309
SCOIL MHUIRE,53.267335,-8.931826,471
SCOIL BHRIDE,51.72716,-8.76995,196
S N PADRAIG NFA FANOIR,53.11697,-9.284001,34
S N AN TSRAITH,54.165999,-9.935186,12
SN AN TRIAN LAIR,53.897316000000004,-8.924694,61
